record_type,packet_id,timestamp_us,ts_sec,ts_usec,flow_id,direction,ip_version,src_ip,dst_ip,src_port,dst_port,protocol,pkt_len,ip_len,payload_len,ttl_or_hop_limit,tcp_seq,tcp_ack,tcp_flags,tcp_window,tcp_header_len,udp_len,icmp_type,icmp_code,l7_proto,flow_iat_us,direction_iat_us,packet_label
packet,0,1753970810175990,1753970810,175990,596153584028650,1,4,10.30.9.61,185.46.212.237,54646,443,17,121,121,93,127,0,0,0,-1,-1,101,-1,-1,1,6544,6544,0
packet,0,1753970810276438,1753970810,276438,624342310682029,0,6,2001:0470:1f14:0536:0000:0000:0000:0002,2603:1061:0000:0700:0000:0000:0000:0002,0,0,58,104,104,56,64,0,0,0,-1,-1,-1,-1,-1,0,0,0,0
packet,0,1753970810276493,1753970810,276493,676677131129619,0,6,2001:0470:1f14:0536:0000:0000:0000:0002,2603:1061:0000:0700:0000:0000:0000:0004,0,0,58,104,104,56,64,0,0,0,-1,-1,-1,-1,-1,0,250014,250014,0
packet,0,1753970810276506,1753970810,276506,676299854571878,0,6,2001:0470:1f14:0536:0000:0000:0000:0002,2603:1061:0000:0700:0000:0000:0000:0001,0,0,58,104,104,56,64,0,0,0,-1,-1,-1,-1,-1,0,250115,250115,0
packet,0,1753970810348082,1753970810,348082,650578160803366,0,4,34.158.255.62,10.30.9.52,4070,41576,6,63,63,11,61,1302905840,354433631,24,11,32,-1,-1,-1,0,0,0,0
packet,0,1753970810372197,1753970810,372197,650578160803366,1,4,10.30.9.52,34.158.255.62,41576,4070,6,52,52,0,63,354433631,1302905851,16,708,32,-1,-1,-1,0,24115,0,0
packet,0,1753970810389743,1753970810,389743,596153584028650,1,4,10.30.9.61,185.46.212.237,54646,443,17,1359,1359,1331,127,0,0,0,-1,-1,1339,-1,-1,1,213753,213753,0
packet,0,1753970810389760,1753970810,389760,596153584028650,1,4,10.30.9.61,185.46.212.237,54646,443,17,1359,1359,1331,127,0,0,0,-1,-1,1339,-1,-1,1,17,17,0
packet,0,1753970810389776,1753970810,389776,596153584028650,1,4,10.30.9.61,185.46.212.237,54646,443,17,1359,1359,1331,127,0,0,0,-1,-1,1339,-1,-1,1,16,16,0
packet,0,1753970810389782,1753970810,389782,596153584028650,1,4,10.30.9.61,185.46.212.237,54646,443,17,939,939,911,127,0,0,0,-1,-1,919,-1,-1,1,6,6,0
packet,0,1753970810396167,1753970810,396167,596153584028650,0,4,185.46.212.237,10.30.9.61,443,54646,17,1441,1441,1413,64,0,0,0,-1,-1,1421,-1,-1,1,6385,244989,0
packet,0,1753970810396180,1753970810,396180,596153584028650,0,4,185.46.212.237,10.30.9.61,443,54646,17,1441,1441,1413,64,0,0,0,-1,-1,1421,-1,-1,1,13,13,0
packet,0,1753970810402281,1753970810,402281,596153584028650,0,4,185.46.212.237,10.30.9.61,443,54646,17,169,169,141,64,0,0,0,-1,-1,149,-1,-1,1,6101,6101,0
packet,0,1753970810404867,1753970810,404867,596153584028650,0,4,185.46.212.237,10.30.9.61,443,54646,17,155,155,127,64,0,0,0,-1,-1,135,-1,-1,1,2586,2586,0
packet,0,1753970810405006,1753970810,405006,596153584028650,0,4,185.46.212.237,10.30.9.61,443,54646,17,139,139,111,64,0,0,0,-1,-1,119,-1,-1,1,139,139,0
packet,0,1753970810405303,1753970810,405303,596153584028650,0,4,185.46.212.237,10.30.9.61,443,54646,17,142,142,114,64,0,0,0,-1,-1,122,-1,-1,1,297,297,0
packet,0,1753970810414224,1753970810,414224,596153584028650,1,4,10.30.9.61,185.46.212.237,54646,443,17,121,121,93,127,0,0,0,-1,-1,101,-1,-1,1,8921,24442,0
packet,0,1753970810421397,1753970810,421397,596153584028650,1,4,10.30.9.61,185.46.212.237,54646,443,17,121,121,93,127,0,0,0,-1,-1,101,-1,-1,1,7173,7173,0
packet,0,1753970810427375,1753970810,427375,596153584028650,1,4,10.30.9.61,185.46.212.237,54646,443,17,121,121,93,127,0,0,0,-1,-1,101,-1,-1,1,5978,5978,0
packet,0,1753970810453904,1753970810,453904,596153584028650,0,4,185.46.212.237,10.30.9.61,443,54646,17,1441,1441,1413,64,0,0,0,-1,-1,1421,-1,-1,1,26529,48601,0
packet,0,1753970810453905,1753970810,453905,596153584028650,0,4,185.46.212.237,10.30.9.61,443,54646,17,1441,1441,1413,64,0,0,0,-1,-1,1421,-1,-1,1,1,1,0
packet,0,1753970810453906,1753970810,453906,596153584028650,0,4,185.46.212.237,10.30.9.61,443,54646,17,401,401,373,64,0,0,0,-1,-1,381,-1,-1,1,1,1,0
packet,0,1753970810453912,1753970810,453912,596153584028650,0,4,185.46.212.237,10.30.9.61,443,54646,17,1149,1149,1121,64,0,0,0,-1,-1,1129,-1,-1,1,6,6,0
packet,0,1753970810490341,1753970810,490341,596153584028650,1,4,10.30.9.61,185.46.212.237,54646,443,17,160,160,132,127,0,0,0,-1,-1,140,-1,-1,1,36429,62966,0
packet,0,1753970810506446,1753970810,506446,596153584028650,0,4,185.46.212.237,10.30.9.61,443,54646,17,143,143,115,64,0,0,0,-1,-1,123,-1,-1,1,16105,52534,0
packet,0,1753970810523573,1753970810,523573,631616577310543,0,4,185.41.138.44,87.138.230.101,0,0,50,1574,1556,1528,64,0,0,0,-1,-1,-1,-1,-1,0,17541,17541,0
packet,0,1753970810526645,1753970810,526645,624342310682029,0,6,2001:0470:1f14:0536:0000:0000:0000:0002,2603:1061:0000:0700:0000:0000:0000:0002,0,0,58,104,104,56,64,0,0,0,-1,-1,-1,-1,-1,0,250207,250207,0
packet,0,1753970810526659,1753970810,526659,676677131129619,0,6,2001:0470:1f14:0536:0000:0000:0000:0002,2603:1061:0000:0700:0000:0000:0000:0004,0,0,58,104,104,56,64,0,0,0,-1,-1,-1,-1,-1,0,250166,250166,0
packet,0,1753970810526693,1753970810,526693,676832286423488,0,6,2001:0470:1f14:0536:0000:0000:0000:0002,2603:1061:0000:0700:0000:0000:0000:0003,0,0,58,104,104,56,64,0,0,0,-1,-1,-1,-1,-1,0,500178,500178,0
packet,0,1753970810536831,1753970810,536831,616824089777589,0,4,185.19.237.6,185.41.137.234,5060,50647,17,1534,1516,1488,56,0,0,0,-1,-1,1496,-1,-1,24,0,0,0
packet,0,1753970810549989,1753970810,549989,673335845282208,0,4,52.123.135.34,10.30.9.88,443,61186,6,40,40,0,64,4123193795,4162753000,16,2237,20,-1,-1,-1,0,0,0,0
packet,0,1753970810551644,1753970810,551644,596153584028650,1,4,10.30.9.61,185.46.212.237,54646,443,17,150,150,122,127,0,0,0,-1,-1,130,-1,-1,1,45198,61303,0
packet,0,1753970810556802,1753970810,556802,631616577310543,0,4,185.41.138.44,87.138.230.101,0,0,50,1574,1556,1528,64,0,0,0,-1,-1,-1,-1,-1,0,16302,16302,0
packet,0,1753970810572882,1753970810,572882,673335845282208,1,4,10.30.9.88,52.123.135.34,61186,443,6,40,40,0,127,4162753000,4123193796,16,1023,20,-1,-1,-1,0,22893,0,0
packet,0,1753970810599399,1753970810,599399,604075795461560,0,4,10.30.9.61,185.46.212.237,49897,443,6,80,80,40,127,720588136,2551738529,24,250,20,-1,-1,-1,0,0,0,0
packet,0,1753970810603815,1753970810,603815,604075795461560,1,4,185.46.212.237,10.30.9.61,443,49897,6,80,80,40,64,2551738529,720588176,24,2064,20,-1,-1,-1,0,4416,0,0
packet,0,1753970810608268,1753970810,608268,604613526365634,0,4,185.239.63.85,37.187.111.17,54888,80,17,1747,1729,1701,64,0,0,0,-1,-1,1709,-1,-1,22,504001,504001,0
packet,0,1753970810611284,1753970810,611284,604613526365634,0,4,185.239.63.85,37.187.111.17,54888,80,17,1747,1729,1701,64,0,0,0,-1,-1,1709,-1,-1,22,3016,3016,0
packet,0,1753970810614435,1753970810,614435,668655787020173,0,4,185.239.63.85,45.192.210.213,54888,33442,17,1747,1729,1701,64,0,0,0,-1,-1,1709,-1,-1,1,0,0,0
packet,0,1753970810616419,1753970810,616419,677177233678952,0,4,185.239.63.85,45.192.215.92,54888,19845,17,1747,1729,1701,64,0,0,0,-1,-1,1709,-1,-1,1,0,0,0
