flow_id,IPV4_SRC_ADDR,L4_SRC_PORT,IPV4_DST_ADDR,L4_DST_PORT,PROTOCOL,L7_PROTO,IN_BYTES,IN_PKTS,OUT_BYTES,OUT_PKTS,TCP_FLAGS,CLIENT_TCP_FLAGS,SERVER_TCP_FLAGS,FLOW_DURATION_MILLISECONDS,DURATION_IN,DURATION_OUT,MIN_TTL,MAX_TTL,LONGEST_FLOW_PKT,SHORTEST_FLOW_PKT,MIN_IP_PKT_LEN,MAX_IP_PKT_LEN,SRC_TO_DST_SECOND_BYTES,DST_TO_SRC_SECOND_BYTES,RETRANSMITTED_IN_BYTES,RETRANSMITTED_IN_PKTS,RETRANSMITTED_OUT_BYTES,RETRANSMITTED_OUT_PKTS,SRC_TO_DST_AVG_THROUGHPUT,DST_TO_SRC_AVG_THROUGHPUT,NUM_PKTS_UP_TO_128_BYTES,NUM_PKTS_128_TO_256_BYTES,NUM_PKTS_256_TO_512_BYTES,NUM_PKTS_512_TO_1024_BYTES,NUM_PKTS_1024_TO_1514_BYTES,TCP_WIN_MAX_IN,TCP_WIN_MAX_OUT,ICMP_TYPE,ICMP_IPV4_TYPE,DNS_QUERY_ID,DNS_QUERY_TYPE,DNS_TTL_ANSWER,FTP_COMMAND_RET_CODE,Label
607116792653983,185.239.61.58,58255,51.124.78.146,443,6,0,40,1,40,1,17,17,17,4,0,0,112,125,40,40,40,40,0.000000,0.000000,0,0,0,0,0.000000,0.000000,2,0,0,0,0,253,16385,0,0,0,0,0,0,0
675502032513204,185.41.139.36,21112,20.38.84.96,443,6,0,40,1,0,0,20,20,0,0,0,0,124,124,40,40,40,40,0.000000,0.000000,0,0,0,0,0.000000,0.000000,1,0,0,0,0,0,0,0,0,0,0,0,0,0
415243410106568,23.100.122.113,443,185.41.137.117,58504,6,0,52,1,0,0,16,16,0,0,0,0,116,116,52,52,52,52,0.000000,0.000000,0,0,0,0,0.000000,0.000000,1,0,0,0,0,49155,0,0,0,0,0,0,0,0
829149926746326,52.98.241.194,443,185.239.61.100,57441,6,0,87,1,40,1,24,24,16,48,0,0,109,125,87,40,40,87,0.000000,0.000000,0,0,0,0,0.000000,0.000000,2,0,0,0,0,16385,253,0,0,0,0,0,0,0
525769953405143,185.41.138.210,64596,94.124.59.115,5038,6,0,40,1,1572,2,24,16,24,446,0,37,55,126,795,40,40,795,0.000000,41395.655036,0,0,0,0,0.000000,331165.240290,1,0,0,2,0,1023,254,0,0,0,0,0,0,0
699445199399131,185.41.139.202,49688,34.155.148.150,5938,6,0,64,1,40,1,24,24,16,58,0,0,57,125,64,40,40,64,0.000000,0.000000,0,0,0,0,0.000000,0.000000,2,0,0,0,0,251,1407,0,0,0,0,0,0,0
503934998440163,185.41.139.173,10000,217.146.21.132,5938,6,0,56603,163,122755,173,24,24,24,1274,1261,1221,51,127,28520,40,40,28520,44870.168785,100509.692342,0,0,0,0,358961.350283,804077.538739,167,57,16,18,76,511,1986,0,0,0,0,0,0,1
619100760926462,185.41.138.25,50745,13.107.136.10,443,6,0,2869,2,40,1,16,16,16,4,0,0,117,126,1480,40,40,1480,358625000.000000,0.000000,0,0,0,0,2869000000.000000,0.000000,1,0,0,0,2,4095,16379,0,0,0,0,0,0,0
455147441842431,52.19.244.129,443,185.239.61.100,52307,6,0,405,5,171,3,24,24,24,96,91,86,125,243,203,40,40,203,4443.322947,1984.472374,0,0,0,0,35546.583578,15875.778992,7,1,0,0,0,771,1025,0,0,0,0,0,0,0
774363719166210,185.41.137.98,56155,75.2.101.69,443,6,0,3111,4,52,1,24,24,16,35,35,0,63,247,1500,52,52,1500,88840.025130,0.000000,0,0,0,0,710720.201039,0.000000,3,0,0,0,2,85,399,0,0,0,0,0,0,0
293781308270853,18.153.223.82,443,185.41.138.155,49726,6,0,85,1,40,1,24,24,16,52,0,0,116,126,85,40,40,85,0.000000,0.000000,0,0,0,0,0.000000,0.000000,2,0,0,0,0,480,510,0,0,0,0,0,0,0
646595288590603,185.239.60.185,43338,149.210.205.204,53,17,12,154,2,570,2,0,0,0,5,0,2,56,62,406,77,77,406,176201.372998,279001.468429,0,0,0,0,1409610.983982,2232011.747430,2,1,1,0,0,0,0,0,0,0,0,0,0,0
375653725333774,185.41.138.210,59432,1.0.0.1,53,17,12,73,1,127,1,0,0,0,14,0,0,58,62,127,73,73,127,0.000000,0.000000,0,0,0,0,0.000000,0.000000,2,0,0,0,0,0,0,0,0,0,0,0,0,0
839738291743010,185.239.60.98,57510,198.51.45.6,53,17,12,93,1,109,1,0,0,0,9,0,0,51,126,109,93,93,109,0.000000,0.000000,0,0,0,0,0.000000,0.000000,2,0,0,0,0,0,0,0,0,0,0,0,0,0
285366469945640,40.101.81.162,443,185.41.138.184,53716,6,0,261,3,120,3,24,24,16,984,929,921,114,126,87,40,40,87,280.906132,130.155796,0,0,0,0,2247.249057,1041.246372,6,0,0,0,0,16385,4103,0,0,0,0,0,0,0
681421219064126,172.65.238.60,443,185.41.138.24,60993,6,0,52,1,52,1,16,16,16,18,0,0,58,62,52,52,52,52,0.000000,0.000000,0,0,0,0,0.000000,0.000000,2,0,0,0,0,10,2048,0,0,0,0,0,0,0
690106131114302,185.239.60.34,63726,40.99.204.98,443,6,0,144,3,87,1,24,16,24,504,504,0,113,126,87,40,40,87,285.667808,0.000000,0,0,0,0,2285.342464,0.000000,4,0,0,0,0,4133,16385,0,0,0,0,0,0,0
454881779935561,43.245.49.83,443,185.41.138.241,57807,6,0,313,4,80,2,29,25,21,182,175,174,56,127,169,40,40,169,1785.235588,458.410690,0,0,0,0,14281.884707,3667.285521,5,1,0,0,0,501,255,0,0,0,0,0,0,0
685509870250318,185.41.138.117,8,8.8.8.8,0,1,0,29,1,29,1,0,0,0,6,0,0,58,63,29,29,29,29,0.000000,0.000000,0,0,0,0,0.000000,0.000000,2,0,0,0,0,0,0,0,0,0,0,0,0,0
785167024613738,75.2.101.69,443,185.41.137.98,57234,6,0,97,1,52,1,24,24,16,1,0,0,63,247,97,52,52,97,0.000000,0.000000,0,0,0,0,0.000000,0.000000,2,0,0,0,0,265,85,0,0,0,0,0,0,0
418228977035658,52.98.253.146,443,185.239.61.100,62934,6,0,12149,78,65487,83,24,24,24,1349,1349,644,109,125,1500,40,40,1500,9003.180645,101636.754180,0,0,0,0,72025.445157,813094.033437,61,37,14,17,32,16385,4106,0,0,0,0,0,0,0
371485910002076,185.41.138.25,56964,52.108.52.22,443,6,0,40,1,0,0,16,16,0,0,0,0,126,126,40,40,40,40,0.000000,0.000000,0,0,0,0,0.000000,0.000000,1,0,0,0,0,253,0,0,0,0,0,0,0,0
409859422710176,40.99.150.34,443,185.239.61.100,54118,6,0,87,1,40,1,24,24,16,43,0,0,109,125,87,40,40,87,0.000000,0.000000,0,0,0,0,0.000000,0.000000,2,0,0,0,0,16381,4105,0,0,0,0,0,0,0
760706623826357,185.239.63.178,55909,45.11.129.36,443,6,0,779,11,440,11,24,24,16,9,0,0,54,126,77,40,40,77,8200000.000000,5714285.714286,0,0,0,0,65600000.000000,45714285.714286,22,0,0,0,0,1019,968,0,0,0,0,0,0,0
593307561716153,185.239.61.100,61265,52.168.117.174,443,6,0,16865,19,7648,11,24,24,24,430,296,337,63,125,6450,40,40,6450,56808.803765,22681.170595,0,0,0,0,454470.430117,181449.364761,13,2,1,3,10,1029,16385,0,0,0,0,0,0,1
310359680641496,52.98.178.210,443,185.239.61.100,63297,6,0,912,2,40,1,24,24,16,45,39,0,109,125,872,40,40,872,22836.538462,0.000000,0,0,0,0,182692.307692,0.000000,2,0,0,1,0,16385,1021,0,0,0,0,0,0,0
407375442373085,185.41.138.25,64939,2.16.106.207,443,17,22,3893,4,1883,6,0,0,0,42,19,36,53,127,1278,49,49,1278,197664.381823,51119.858830,0,0,0,0,1581315.054582,408958.870639,5,0,1,0,4,0,0,0,0,0,0,0,0,0
297396144859614,104.18.41.41,443,185.239.63.146,61559,17,1,635,5,211,3,0,0,0,842,842,834,58,126,427,52,52,427,753.693991,252.894200,0,0,0,0,6029.551926,2023.153603,7,0,1,0,0,0,0,0,0,0,0,0,0,0
788838621080035,40.99.150.34,443,185.239.61.100,56304,6,0,1283,3,80,2,24,24,16,50,0,46,109,125,1125,40,40,1125,67526315.789474,1728.048385,0,0,0,0,540210526.315789,13824.387083,4,0,0,0,1,16382,255,0,0,0,0,0,0,0
640349518719469,185.41.138.241,53180,157.240.247.12,443,6,0,53116,63,2303,41,24,24,24,300,297,296,56,127,1432,40,40,1432,178792.387287,7755.018201,0,0,0,0,1430339.098296,62040.145604,63,1,2,4,34,255,5575,0,0,0,0,0,0,0
480269702883828,34.252.184.159,443,185.239.60.50,57243,6,0,40,1,40,1,16,16,16,1,0,0,126,243,40,40,40,40,0.000000,0.000000,0,0,0,0,0.000000,0.000000,2,0,0,0,0,27,1022,0,0,0,0,0,0,0
697750748752394,185.239.63.209,22,201.132.160.182,51996,6,0,236,3,220,3,25,25,25,800,800,652,39,64,132,52,52,132,294.775602,337.268128,0,0,0,0,2358.204817,2698.145025,5,1,0,0,0,123,77,0,0,0,0,0,0,1
764802461952530,185.41.139.179,40683,3.75.155.134,5060,17,1,30,1,0,0,0,0,0,0,0,0,127,127,30,30,30,30,0.000000,0.000000,0,0,0,0,0.000000,0.000000,1,0,0,0,0,0,0,0,0,0,0,0,0,0
451254984337938,185.41.139.114,32471,18.214.202.142,443,6,0,40,1,0,0,16,16,0,0,0,0,126,126,40,40,40,40,0.000000,0.000000,0,0,0,0,0.000000,0.000000,1,0,0,0,0,1024,0,0,0,0,0,0,0,0
733256211655197,185.41.137.188,58108,35.205.191.166,443,6,0,186,3,153,3,24,24,24,232,232,23,58,62,75,40,40,75,800.265034,6482.776154,0,0,0,0,6402.120272,51862.209228,6,0,0,0,0,5364,65535,0,0,0,0,0,0,0
580560306596415,185.239.60.98,57775,198.51.45.6,53,17,12,93,1,109,1,0,0,0,8,0,0,51,126,109,93,93,109,0.000000,0.000000,0,0,0,0,0.000000,0.000000,2,0,0,0,0,0,0,0,0,0,0,0,0,0
440611711052359,52.108.240.6,443,185.41.138.25,64766,6,0,525,9,226,4,24,24,24,47,47,18,107,127,143,40,40,143,11150.758252,12282.608696,0,0,0,0,89206.066012,98260.869565,12,1,0,0,0,16385,255,0,0,0,0,0,0,0
349719500974669,1.0.0.1,53,185.41.138.210,33750,17,1,148,1,52,1,0,0,0,5,0,0,58,62,148,52,52,148,0.000000,0.000000,0,0,0,0,0.000000,0.000000,1,1,0,0,0,0,0,0,0,0,0,0,0,0
784582885599836,91.217.146.15,443,185.239.62.122,55674,6,0,4385,9,1185,10,31,27,29,187,186,185,54,126,3654,40,40,3654,23529.474893,6379.164626,0,0,0,0,188235.799144,51033.317004,14,3,1,0,0,64240,8212,0,0,0,0,0,0,1
815711865039452,188.40.84.138,21304,185.239.61.228,161,17,39,66,1,0,0,0,0,0,0,0,0,241,241,66,66,66,66,0.000000,0.000000,0,0,0,0,0.000000,0.000000,1,0,0,0,0,0,0,0,0,0,0,0,0,1
