flow_id,total_fwd_packets,total_backward_packets,label,flow_duration,flow_iat_mean,flow_iat_max,packet_rows,packet_fwd_count,packet_bwd_count,packet_unknown_direction_count,any_packet_label,alert_packet_count,packet_payload_sum,flow_iat_mean_from_packets,flow_iat_max_from_packets,direction_iat_mean_from_packets,direction_iat_max_from_packets,_merge,fwd_packet_diff,bwd_packet_diff
63061216791783,2,0,0,51255,51255.0,51255,2,2,0,0,0,0,0,25627.5,51255,25627.5,51255,both,0,0
63061743112431,2,0,0,51255,51255.0,51255,2,2,0,0,0,0,0,25627.5,51255,25627.5,51255,both,0,0
63601948912427,1,0,0,0,0.0,0,1,1,0,0,0,0,35,0.0,0,0.0,0,both,0,0
63754493069536,2,0,0,51094,51094.0,51094,2,2,0,0,0,0,0,25547.0,51094,25547.0,51094,both,0,0
63878687768391,1,0,0,0,0.0,0,1,1,0,0,0,0,102,0.0,0,0.0,0,both,0,0
63909069201871,1,1,0,816,816.0,816,2,1,1,0,0,0,174,408.0,816,0.0,0,both,0,0
65880202399949,1,1,0,7008,7008.0,7008,2,1,1,0,0,0,138,3504.0,7008,0.0,0,both,0,0
67347436940939,15,17,0,47701,1538.741935,9382,32,15,17,0,0,0,16953,1490.65625,9382,2671.71875,13256,both,0,0
67480514200892,1,0,0,0,0.0,0,1,1,0,0,0,0,31,0.0,0,0.0,0,both,0,0
67854255624687,4,4,0,25825,3689.285714,15686,8,4,4,0,0,0,3066,3228.125,15686,3285.875,19930,both,0,0
67857246547890,1,1,0,4074,4074.0,4074,2,1,1,0,0,0,207,2037.0,4074,0.0,0,both,0,0
68698684032051,1,0,0,0,0.0,0,1,1,0,0,0,0,0,0.0,0,0.0,0,both,0,0
69205221695659,1,0,0,0,0.0,0,1,1,0,0,0,0,0,0.0,0,0.0,0,both,0,0
69595650019997,1,1,0,6809,6809.0,6809,2,1,1,0,0,0,101,3404.5,6809,0.0,0,both,0,0
71085045234453,1,1,0,7218,7218.0,7218,2,1,1,0,0,0,205,3609.0,7218,0.0,0,both,0,0
71226510131895,1,0,0,0,0.0,0,1,1,0,0,0,0,65,0.0,0,0.0,0,both,0,0
71683499850889,2,1,0,27459,13729.5,20973,3,2,1,0,0,0,0,9153.0,20973,9153.0,27459,both,0,0
74104993804591,7,3,0,48684,5409.333333,19596,10,7,3,0,0,0,1824,4868.4,19596,9166.2,29651,both,0,0
74270173629947,3,4,0,28632,4772.0,6885,7,3,4,0,0,0,220,4090.285714285714,6885,6234.142857142857,11670,both,0,0
74366490534232,1,5,0,21360,4272.0,11312,6,1,5,0,0,0,1510,3560.0,11312,1674.6666666666667,8392,both,0,0
75190303119187,1,0,0,0,0.0,0,1,1,0,0,0,0,84,0.0,0,0.0,0,both,0,0
75606536598741,3,1,0,45563,15187.666667,45342,4,3,1,0,0,0,39,11390.75,45342,55.25,221,both,0,0
75903320333992,2,0,0,48265,48265.0,48265,2,2,0,0,0,0,0,24132.5,48265,24132.5,48265,both,0,0
76708386671208,1,0,0,0,0.0,0,1,1,0,0,0,0,42,0.0,0,0.0,0,both,0,0
78151557339052,1,0,0,0,0.0,0,1,1,0,0,0,0,35,0.0,0,0.0,0,both,0,0
78346747753486,3,3,0,9676,1935.2,5465,6,3,3,0,0,0,63,1612.6666666666667,5465,1804.6666666666667,9674,both,0,0
78866529276087,5,5,0,47575,5286.111111,13829,10,5,5,0,0,0,1284,4757.5,13829,8974.4,39083,both,0,0
