flow_id,source_ip,source_port,destination_ip,destination_port,protocol,flow_duration,total_fwd_packets,total_backward_packets,total_length_of_fwd_packets,total_length_of_bwd_packets,fwd_packet_length_max,fwd_packet_length_min,fwd_packet_length_mean,fwd_packet_length_std,bwd_packet_length_max,bwd_packet_length_min,bwd_packet_length_mean,bwd_packet_length_std,flow_bytes_per_s,flow_packets_per_s,flow_iat_mean,flow_iat_std,flow_iat_max,flow_iat_min,fwd_iat_total,fwd_iat_mean,fwd_iat_std,fwd_iat_max,fwd_iat_min,bwd_iat_total,bwd_iat_mean,bwd_iat_std,bwd_iat_max,bwd_iat_min,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fwd_header_length,bwd_header_length,fwd_packets_per_s,bwd_packets_per_s,min_packet_length,max_packet_length,packet_length_mean,packet_length_std,packet_length_variance,fin_flag_count,syn_flag_count,rst_flag_count,psh_flag_count,ack_flag_count,urg_flag_count,cwe_flag_count,ece_flag_count,down_up_ratio,average_packet_size,avg_fwd_segment_size,avg_bwd_segment_size,init_win_bytes_forward,init_win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,active_mean,active_std,active_max,active_min,idle_mean,idle_std,idle_max,idle_min,label
829003667079283,20.86.94.142,443,185.239.60.98,64799,6,54686,1,1,73,0,73,73,73.000000,0.000000,0,0,0.000000,0.000000,1334.893757,36.572432,54686.000000,0.000000,54686,54686,0,0.000000,0.000000,0,0,0,0.000000,0.000000,0,0,1,0,0,0,40,40,18.286216,18.286216,0,73,36.500000,51.618795,2664.500000,0,0,0,1,2,0,0,0,1.000000,36.500000,73.000000,0.000000,501,1026,1,20,54686.000000,0.000000,54686,54686,0.000000,0.000000,0,0,0
378651572174965,188.212.113.35,8,185.41.137.98,0,1,0,1,0,64,0,64,64,64.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0.000000,0.000000,0,0,0,0.000000,0.000000,0,0,0,0,0,0,28,0,0.000000,0.000000,64,64,64.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0.000000,64.000000,64.000000,0.000000,-1,-1,0,0,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0
509537004290177,185.41.138.210,64189,142.250.185.170,443,17,9127,1,1,29,27,29,29,29.000000,0.000000,27,27,27.000000,0.000000,6135.641503,219.130054,9127.000000,0.000000,9127,9127,0,0.000000,0.000000,0,0,0,0.000000,0.000000,0,0,0,0,0,0,28,28,109.565027,109.565027,27,29,28.000000,1.414214,2.000000,0,0,0,0,0,0,0,0,1.000000,28.000000,29.000000,27.000000,-1,-1,0,0,9127.000000,0.000000,9127,9127,0.000000,0.000000,0,0,0
495711987564676,185.41.139.36,51138,198.135.184.5,443,6,7883,1,1,549,243,549,549,549.000000,0.000000,243,243,243.000000,0.000000,100469.364455,253.710516,7883.000000,0.000000,7883,7883,0,0.000000,0.000000,0,0,0,0.000000,0.000000,0,0,1,1,0,0,52,52,126.855258,126.855258,243,549,396.000000,216.374675,46818.000000,0,0,0,2,2,0,0,0,1.000000,396.000000,549.000000,243.000000,1418,2546,1,32,7883.000000,0.000000,7883,7883,0.000000,0.000000,0,0,0
720876084461720,65.108.254.120,443,185.239.60.98,58360,6,33868,2,1,25,29,25,0,12.500000,17.677670,29,29,29.000000,0.000000,1594.425416,88.579190,16934.000000,18162.744782,29777,4091,33868,33868.000000,0.000000,33868,33868,0,0.000000,0.000000,0,0,1,1,0,0,80,40,59.052793,29.526397,0,29,18.000000,15.716234,247.000000,0,0,0,2,3,0,0,0,0.500000,18.000000,12.500000,29.000000,501,1026,1,20,33868.000000,0.000000,33868,33868,0.000000,0.000000,0,0,0
322212604084380,185.41.138.82,50365,8.8.8.8,53,17,6589,1,1,64,185,64,64,64.000000,0.000000,185,185,185.000000,0.000000,37790.256488,303.536197,6589.000000,0.000000,6589,6589,0,0.000000,0.000000,0,0,0,0.000000,0.000000,0,0,0,0,0,0,28,28,151.768098,151.768098,64,185,124.500000,85.559921,7320.500000,0,0,0,0,0,0,0,0,1.000000,124.500000,64.000000,185.000000,-1,-1,0,0,6589.000000,0.000000,6589,6589,0.000000,0.000000,0,0,0
402585802047662,185.239.62.90,41258,104.18.21.205,443,6,10165,2,1,0,0,0,0,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,295.130349,5082.500000,2269.105661,6687,3478,10165,10165.000000,0.000000,10165,10165,0,0.000000,0.000000,0,0,0,0,0,0,80,40,196.753566,98.376783,0,0,0.000000,0.000000,0.000000,2,0,0,0,3,0,0,0,0.500000,0.000000,0.000000,0.000000,1028,9,0,20,10165.000000,0.000000,10165,10165,0.000000,0.000000,0,0,0
558164930330800,185.239.60.185,38980,34.111.8.32,443,6,6724,1,1,0,0,0,0,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,297.441999,6724.000000,0.000000,6724,6724,0,0.000000,0.000000,0,0,0,0.000000,0.000000,0,0,0,0,0,0,40,52,148.720999,148.720999,0,0,0.000000,0.000000,0.000000,0,0,0,0,2,0,0,0,1.000000,0.000000,0.000000,0.000000,2048,1026,0,20,6724.000000,0.000000,6724,6724,0.000000,0.000000,0,0,0
755277242761414,185.41.138.24,63627,172.211.123.250,443,6,61961,2,1,101,171,101,0,50.500000,71.417785,171,171,171.000000,0.000000,4389.858137,48.417553,30980.500000,31104.920198,52975,8986,61961,61961.000000,0.000000,61961,61961,0,0.000000,0.000000,0,0,1,1,0,0,80,40,32.278369,16.139184,0,171,90.666667,85.967048,7390.333333,0,0,0,2,3,0,0,0,0.500000,90.666667,50.500000,171.000000,253,7384,1,20,61961.000000,0.000000,61961,61961,0.000000,0.000000,0,0,0
802197769224399,208.115.231.14,443,185.41.137.98,49751,6,1552,1,1,0,0,0,0,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,1288.659794,1552.000000,0.000000,1552,1552,0,0.000000,0.000000,0,0,0,0.000000,0.000000,0,0,0,0,0,0,52,52,644.329897,644.329897,0,0,0.000000,0.000000,0.000000,0,0,0,0,2,0,0,0,1.000000,0.000000,0.000000,0.000000,501,85,0,32,1552.000000,0.000000,1552,1552,0.000000,0.000000,0,0,0
479058118050006,40.64.145.243,443,185.41.138.25,50855,6,55486,1,1,92,0,92,92,92.000000,0.000000,0,0,0.000000,0.000000,1658.075911,36.045129,55486.000000,0.000000,55486,55486,0,0.000000,0.000000,0,0,0,0.000000,0.000000,0,0,1,0,0,0,40,40,18.022564,18.022564,0,92,46.000000,65.053824,4232.000000,0,0,0,1,2,0,0,0,1.000000,46.000000,92.000000,0.000000,16381,508,1,20,55486.000000,0.000000,55486,55486,0.000000,0.000000,0,0,0
309285176148182,185.41.137.98,43962,195.121.70.17,443,6,37163,33,74,1048,96173,362,0,31.757576,102.020228,1460,0,1299.635135,436.073752,2616069.746791,2879.207814,350.594340,982.733532,6739,6,37163,1161.343750,2416.661942,10213,6,32837,449.821918,1776.655154,13246,6,3,7,0,0,1320,2960,887.979980,1991.227834,0,1460,908.607477,692.970959,480208.750132,0,0,0,10,107,0,0,0,2.242424,908.607477,31.757576,1299.635135,80,16021,3,20,37163.000000,0.000000,37163,37163,0.000000,0.000000,0,0,0
436708669587671,185.41.139.59,47592,130.211.23.194,443,6,0,1,0,0,0,0,0,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0.000000,0.000000,0,0,0,0.000000,0.000000,0,0,0,0,0,0,52,0,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,0,1,0,1,0,0,0,0.000000,0.000000,0.000000,0.000000,79,-1,0,32,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0
